Rank,ask_cap,spread_cap,edge3,kill_L,trades,wins,losses,WR%,avg_win,avg_loss,total_pnl,pnl/trade,max_dd,worst_day,worst_wk,pnl_std,pct5_boot,slip_adj,efficiency,kill_acts
265,0.66,0.025,0.74,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.20,-26.13,-1.00,1
266,0.66,0.030,0.66,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.20,-26.13,-1.00,1
267,0.66,0.030,0.68,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.08,-26.13,-1.00,1
268,0.66,0.030,0.70,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.08,-26.13,-1.00,1
269,0.66,0.030,0.72,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.32,-26.13,-1.00,1
270,0.66,0.030,0.74,3,28,15,13,53.6,2.64,-5.00,-25.43,-0.908,25.43,-14.20,-25.43,2.09,-56.08,-26.13,-1.00,1
271,0.66,0.015,0.66,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-63.19,-26.25,-1.00,1
272,0.66,0.015,0.68,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.32,-26.25,-1.00,1
273,0.66,0.015,0.70,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-63.31,-26.25,-1.00,1
274,0.66,0.015,0.72,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.55,-26.25,-1.00,1
275,0.66,0.015,0.74,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.08,-26.25,-1.00,1
276,0.66,0.020,0.66,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.32,-26.25,-1.00,1
277,0.66,0.020,0.68,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.43,-26.25,-1.00,1
278,0.66,0.020,0.70,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.20,-26.25,-1.00,1
279,0.66,0.020,0.72,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.20,-26.25,-1.00,1
280,0.66,0.020,0.74,3,28,15,13,53.6,2.63,-5.00,-25.55,-0.912,25.55,-14.20,-25.55,2.01,-56.20,-26.25,-1.00,1
281,0.68,0.025,0.66,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-57.09,-27.14,-1.00,1
282,0.68,0.025,0.68,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-57.31,-27.14,-1.00,1
283,0.68,0.025,0.70,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-57.21,-27.14,-1.00,1
284,0.68,0.025,0.72,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-57.21,-27.14,-1.00,1
285,0.68,0.025,0.74,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-57.10,-27.14,-1.00,1
286,0.68,0.030,0.66,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-56.86,-27.14,-1.00,1
287,0.68,0.030,0.68,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-56.98,-27.14,-1.00,1
288,0.68,0.030,0.70,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-63.65,-27.14,-1.00,1
289,0.68,0.030,0.72,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-56.87,-27.14,-1.00,1
290,0.68,0.030,0.74,3,28,15,13,53.6,2.57,-5.00,-26.44,-0.944,26.44,-14.64,-26.44,2.01,-56.98,-27.14,-1.00,1
291,0.68,0.015,0.66,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-63.77,-27.26,-1.00,1
292,0.68,0.015,0.68,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.08,-27.26,-1.00,1
293,0.68,0.015,0.70,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.10,-27.26,-1.00,1
294,0.68,0.015,0.72,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-64.11,-27.26,-1.00,1
295,0.68,0.015,0.74,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-63.65,-27.26,-1.00,1
296,0.68,0.020,0.66,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.31,-27.26,-1.00,1
297,0.68,0.020,0.68,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.21,-27.26,-1.00,1
298,0.68,0.020,0.70,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.21,-27.26,-1.00,1
299,0.68,0.020,0.72,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-57.22,-27.26,-1.00,1
300,0.68,0.020,0.74,3,28,15,13,53.6,2.56,-5.00,-26.56,-0.948,26.56,-14.64,-26.56,1.93,-63.89,-27.26,-1.00,1
